age,income,debt_ratio,num_loans,missed_payments,credit_history_years,employment_years,savings,defaulted
36,86651,0.2467,4,4,8,24,40031,1
25,62597,0.1146,2,2,14,8,8345,0
55,91571,0.0665,1,5,7,16,29727,0
32,95379,0.268,7,2,16,20,41918,0
45,49630,0.3198,6,4,18,22,26280,0
41,41061,0.1773,8,0,11,19,16919,0
56,39770,0.3866,7,1,6,27,41445,0
43,24677,0.0819,3,0,14,20,23830,0
36,44631,0.6341,1,3,13,1,10581,0
59,79153,0.5749,1,2,4,2,2747,0
65,15000,0.243,1,5,11,22,0,1
62,34250,0.3553,5,3,18,25,49596,0
59,52457,0.2942,6,2,1,28,7447,0
34,37456,0.2882,5,3,12,14,34459,0
51,44454,0.1828,1,4,18,6,6194,0
25,44753,0.1064,3,2,7,3,22504,0
55,49849,0.2891,2,5,12,11,26745,0
43,40410,0.1288,3,2,1,0,1413,0
49,38775,0.2898,4,3,4,16,34355,1
63,73686,0.3229,6,1,18,3,17026,0
31,75993,0.3082,8,3,15,3,28289,1
38,27389,0.1556,1,2,3,21,41817,0
67,15000,0.4324,7,2,7,22,31094,1
32,76267,0.3597,2,1,6,24,18577,0
29,30423,0.191,8,0,15,8,49160,0
30,59254,0.1681,9,1,15,25,19330,0
64,23686,0.5176,3,0,6,27,21396,1
37,80955,0.2556,2,5,8,27,17545,0
58,105873,0.2556,9,2,8,20,1615,0
27,58656,0.0259,5,4,1,9,0,0
66,53117,0.4155,9,4,13,26,11686,0
33,48557,0.5688,8,3,13,18,4794,0
60,70635,0.236,6,1,11,18,15834,0
62,66353,0.0472,3,1,4,14,32392,0
29,75069,0.202,2,4,7,21,13863,0
47,42441,0.3296,9,0,12,16,23299,0
22,61802,0.3404,3,1,13,6,12411,0
25,44150,0.2919,2,0,12,2,58175,0
49,33845,0.1104,2,0,16,4,42623,0
57,54179,0.4322,8,0,6,15,16285,0
58,36549,0.1931,3,0,14,22,24082,0
39,78474,0.0702,8,3,19,6,0,0
28,37761,0.3236,9,3,16,15,16783,1
68,62270,0.1391,4,4,4,8,10994,1
65,42931,0.1573,6,3,5,0,31143,1
21,60541,0.1288,4,5,9,2,6045,0
42,44520,0.1259,0,1,3,24,44866,0
37,29855,0.2097,1,5,10,7,19018,0
27,64675,0.1773,4,3,17,17,6958,0
45,50291,0.0906,5,1,19,23,20482,0
65,60719,0.0951,6,1,10,23,31051,0
24,46423,0.3577,1,0,12,17,27806,0
56,28441,0.1682,9,4,7,23,22348,1
26,76663,0.4639,8,0,18,18,33164,0
51,69735,0.1802,5,0,19,6,32247,0
39,43660,0.2331,1,5,15,28,32322,0
64,56395,0.133,1,3,7,24,15864,0
59,75840,0.0565,2,5,12,19,15760,0
47,45859,0.1317,0,3,7,26,16889,0
30,48962,0.3367,8,5,10,5,12589,1
46,59872,0.0603,9,1,10,24,21585,0
39,45818,0.2429,3,3,5,26,19915,0
59,72141,0.3151,4,3,18,10,44826,0
23,51621,0.5465,6,5,9,4,12427,1
65,39319,0.2381,0,2,16,11,5199,0
33,67172,0.127,2,1,7,0,29686,0
48,32157,0.4249,2,1,10,18,21072,0
40,95297,0.2617,1,2,5,10,9704,0
48,86649,0.1617,7,5,7,14,31731,0
28,65269,0.1516,4,5,5,24,15815,0
61,63586,0.4297,0,1,15,15,42864,0
59,62648,0.3105,1,5,19,2,5747,0
21,45218,0.1445,0,4,10,10,11287,0
23,60946,0.4581,5,4,8,10,21914,1
33,36537,0.1246,8,2,9,9,40366,0
48,65076,0.5934,6,3,11,1,9297,1
69,72356,0.3338,4,4,2,19,25647,0
45,47438,0.5223,2,5,3,4,2540,1
53,43097,0.0765,7,2,13,22,33750,0
58,30750,0.3835,9,4,11,22,10222,1
26,84159,0.455,3,0,10,24,29281,0
64,44686,0.4808,8,2,15,28,30056,0
65,51025,0.0846,4,1,6,7,0,0
52,61003,0.5502,5,4,1,12,23139,1
65,60644,0.5552,4,1,14,14,12414,0
67,69931,0.3494,9,2,18,1,27477,1
41,47413,0.4769,6,4,11,11,6889,1
36,32226,0.4216,6,1,8,23,11278,0
41,28726,0.0193,0,3,3,7,37976,0
31,43414,0.3716,1,3,14,20,36816,0
57,35962,0.2343,6,0,2,28,5088,0
56,48927,0.2145,7,5,16,18,46945,1
55,81151,0.4297,3,2,6,24,0,0
39,47454,0.2104,5,5,1,27,23218,1
40,47446,0.3567,9,5,14,22,733,1
38,54672,0.178,2,1,10,0,25570,0
67,46887,0.2446,6,0,6,7,16075,0
61,53652,0.2684,2,2,9,9,4735,0
69,65817,0.0678,6,3,7,12,8938,0
34,72695,0.2616,7,5,2,4,8200,1
35,75064,0.3356,2,1,11,21,21145,0
51,96137,0.3838,1,5,14,8,34620,0
21,66387,0.1948,5,4,5,9,49382,0
23,99689,0.3442,3,3,9,13,17436,0
36,39470,0.1441,7,5,7,23,24482,1
43,96825,0.0988,1,4,14,29,37793,0
31,47392,0.2367,3,4,16,10,13265,0
32,49359,0.259,1,1,16,13,8253,0
30,52602,0.3318,1,1,7,29,49226,0
52,50627,0.1484,1,4,10,2,17303,0
36,56716,0.2232,0,0,6,28,23260,0
28,43399,0.0367,3,5,17,20,0,0
58,71599,0.2177,1,4,1,15,12142,0
32,43943,0.6946,8,4,2,19,48307,1
44,68112,0.1049,8,1,14,29,26942,0
48,85554,0.4953,6,5,4,16,19569,1
28,47857,0.2512,5,2,9,4,40905,0
48,70887,0.2756,2,3,6,25,0,0
56,66183,0.099,6,1,17,6,13778,0
46,100057,0.3066,0,5,11,16,54124,0
28,44903,0.1951,8,5,4,19,19250,1
48,70901,0.2602,3,0,9,21,19146,0
48,22479,0.1908,5,3,16,10,37687,0
57,45082,0.1164,5,1,3,11,38729,0
61,62067,0.2768,2,1,4,24,476,0
56,82863,0.326,3,2,3,26,26419,0
47,30481,0.1977,9,0,13,23,46336,0
37,70721,0.1498,2,0,19,1,10353,0
29,53735,0.1639,5,5,1,26,14413,0
53,24569,0.4158,0,5,6,18,20432,1
40,58631,0.3026,7,1,3,25,30415,1
33,89183,0.3278,7,2,3,28,0,0
48,32591,0.3687,8,1,16,4,0,0
68,52801,0.0491,5,4,10,10,23232,1
49,35267,0.1137,0,5,17,22,37488,1
33,45628,0.5423,2,4,7,18,15320,1
66,83643,0.0655,0,2,13,27,10844,0
55,49569,0.1927,4,1,11,6,17495,0
26,83031,0.4477,2,5,10,20,43963,1
38,77181,0.2233,1,2,7,25,10031,0
25,47745,0.1565,2,1,6,21,28554,0
67,44948,0.2419,8,1,1,5,2696,0
45,37080,0.2385,7,4,17,10,3414,1
22,36382,0.1722,2,3,12,26,32675,0
30,62064,0.0204,1,0,4,13,44515,0
50,54604,0.1132,4,5,3,27,33335,0
65,42527,0.245,0,0,6,3,0,0
25,24024,0.1755,3,2,16,27,13700,0
53,57123,0.412,7,0,13,7,23583,0
21,45608,0.2323,0,4,9,8,20893,0
38,51094,0.3974,4,3,11,1,0,1
52,61093,0.1348,3,5,13,24,542,1
67,15000,0.3573,5,1,19,10,7973,0
69,24334,0.1071,6,1,3,27,18985,0
31,100928,0.2219,8,4,12,19,0,0
41,44867,0.4562,0,5,19,21,29003,0
46,15000,0.1285,9,0,8,29,18605,0
45,26001,0.3391,3,1,14,6,4351,0
42,104689,0.2991,5,0,9,3,22903,0
47,40940,0.1393,9,4,17,23,0,1
69,78180,0.4057,6,1,6,28,19218,0
33,57422,0.2662,6,2,4,13,0,1
53,45300,0.4676,7,3,4,25,0,1
54,70508,0.2073,9,0,19,23,13189,0
61,15000,0.5953,7,5,12,0,9255,1
55,26177,0.6164,7,0,2,23,25764,1
21,45152,0.2013,7,0,17,25,19720,0
41,28141,0.6006,7,0,15,29,51505,0
68,43384,0.1546,5,4,10,11,16022,1
26,72074,0.0585,8,4,3,18,0,0
48,57642,0.4239,2,5,4,4,0,1
37,81612,0.0991,5,4,1,29,2058,0
25,58907,0.2876,4,5,1,25,70768,1
51,74849,0.2648,7,5,18,7,19449,0
25,53718,0.2771,3,4,4,10,36627,0
58,43194,0.2903,3,1,15,21,35108,0
23,84611,0.1379,9,4,10,3,996,1
43,40812,0.2352,9,1,17,14,0,1
57,61876,0.1889,4,2,12,19,29634,0
57,70377,0.2679,5,4,12,11,0,1
30,71829,0.2202,3,2,16,19,34664,0
30,31691,0.4379,1,4,5,21,18244,1
39,76039,0.2291,1,2,16,22,29240,0
37,35420,0.1905,2,3,17,28,24551,0
41,71214,0.2703,1,2,15,20,25352,0
34,65703,0.114,0,1,13,9,21567,0
29,71372,0.261,7,0,8,29,24224,0
66,30899,0.0183,4,5,2,23,20691,0
21,66758,0.351,9,2,8,15,0,0
65,76711,0.3551,0,0,10,22,14092,0
33,58867,0.2137,8,3,7,7,52546,0
24,38627,0.0242,7,3,10,19,24711,0
21,73394,0.2004,3,1,4,7,37136,0
69,57278,0.4979,7,1,11,28,5252,0
60,21511,0.1005,9,2,9,5,4991,1
52,37076,0.0027,6,4,4,2,1948,1
54,44474,0.3679,6,3,3,28,23,1
48,85116,0.6802,0,0,11,7,0,0
51,81603,0.2133,5,4,3,28,23498,1
28,81539,0.2784,3,3,18,22,14662,0
59,59647,0.2582,9,2,19,9,33132,0
46,73271,0.152,9,3,14,4,15344,1
54,32184,0.3507,9,1,11,10,0,1
23,55136,0.1153,1,0,2,3,26654,0
32,64032,0.2086,9,0,2,16,0,0
21,33502,0.1672,6,1,2,25,23215,0
64,59198,0.6101,8,4,10,2,8429,1
25,88732,0.144,4,1,15,17,23487,0
50,66175,0.2961,7,0,12,7,0,0
50,73350,0.5536,4,2,11,29,31674,0
37,15000,0.1571,6,4,17,23,20564,0
68,86159,0.5532,6,5,18,11,14836,1
67,51277,0.4509,8,3,14,20,0,0
43,39626,0.2126,2,5,17,15,47158,0
35,51507,0.0764,0,2,15,13,6398,0
57,25299,0.17,1,5,12,20,23944,0
41,75958,0.1621,5,4,16,15,5766,0
34,48292,0.2594,9,0,6,26,76662,0
22,40227,0.1275,9,0,2,3,22241,0
31,51638,0.2793,8,2,2,0,10779,0
59,77360,0.2952,2,5,16,0,29086,1
58,57629,0.4186,9,4,2,28,31250,1
54,26806,0.2148,1,3,8,21,25918,0
58,64299,0.2683,0,5,7,14,15147,0
54,36420,0.1174,1,5,1,19,26607,0
38,15000,0.4406,2,3,4,19,17669,0
50,84920,0.4331,6,1,11,2,19620,0
35,64144,0.0796,1,2,7,13,8218,0
47,53434,0.6571,4,4,18,8,0,1
54,48087,0.1056,1,2,4,18,28448,0
58,82941,0.4558,6,3,17,7,29094,0
53,116743,0.3262,9,4,11,1,39449,0
44,63975,0.3305,7,0,11,3,20727,1
35,34407,0.2197,7,0,11,0,16763,0
50,51910,0.4676,7,4,15,10,0,1
62,63611,0.1642,9,2,14,4,19407,0
37,15000,0.1588,8,2,17,1,25402,1
25,61689,0.1343,0,0,2,26,0,0
49,63728,0.3134,0,0,18,12,36035,0
24,81526,0.5457,9,3,16,16,9319,1
30,79442,0.2668,1,4,12,16,17058,0
37,57223,0.591,5,2,10,17,28966,1
30,85292,0.1728,0,3,16,20,19890,0
37,95713,0.2662,4,2,3,27,41050,0
40,55559,0.0458,4,0,8,8,29432,0
44,63363,0.2745,3,4,2,5,17775,1
25,19654,0.4891,4,1,1,27,0,1
54,25980,0.1749,0,4,14,19,34942,0
26,38236,0.3237,5,5,4,2,2306,1
22,46127,0.0255,6,1,4,7,32777,0
33,33077,0.4449,7,3,9,2,27352,1
63,54280,0.4777,1,1,3,0,17018,0
63,46725,0.0583,6,1,5,19,34299,0
68,76417,0.2533,5,3,1,26,27815,0
31,45504,0.46,8,4,19,12,24925,1
67,15000,0.1955,7,3,1,20,0,1
43,57515,0.1201,3,5,10,4,20597,0
36,54716,0.3045,8,0,12,15,1357,0
51,37759,0.4196,0,0,10,20,3560,0
31,56899,0.4018,5,1,2,23,14582,0
36,33494,0.1959,7,3,16,15,41951,0
28,61596,0.5589,3,3,8,23,25480,0
24,107658,0.0489,1,3,14,11,26469,0
60,18887,0.3292,1,5,15,12,31556,1
24,44675,0.5283,9,5,16,3,6879,1
45,41469,0.2782,0,4,11,8,0,0
23,46334,0.1872,4,2,12,15,0,0
52,75398,0.2327,5,2,2,0,23466,0
23,65856,0.2061,3,2,4,4,34800,0
47,71975,0.3104,3,4,3,20,33691,1
49,55609,0.2485,4,3,9,4,7534,0
52,28558,0.0566,4,2,18,23,40332,0
39,32706,0.2523,8,3,19,24,50645,0
41,69925,0.3652,7,1,7,18,29114,0
25,58416,0.0901,8,2,4,8,42309,0
38,80204,0.1859,2,1,6,28,33097,0
48,60865,0.3536,2,4,19,26,16554,0
62,31339,0.3199,0,0,1,7,10031,0
42,44561,0.1792,9,5,16,18,0,1
41,66296,0.2964,5,4,11,17,13328,0
26,69206,0.1774,3,4,4,14,16447,1
21,72102,0.2572,7,4,18,3,16779,1
25,34029,0.2649,1,2,5,14,18311,0
61,30979,0.6241,1,1,6,12,0,1
32,51203,0.1818,6,5,2,27,31685,1
46,83801,0.1413,4,2,12,17,33426,0
66,41122,0.305,0,0,9,19,25565,0
54,64099,0.3377,6,5,12,4,2459,1
69,64101,0.2584,6,4,13,17,25504,1
34,70215,0.3511,9,3,17,27,20339,0
46,88288,0.216,5,0,5,7,27117,0
65,86238,0.3456,3,1,13,0,43266,0
47,43107,0.2613,7,0,13,18,17322,0
29,15000,0.2298,1,2,10,22,22722,0
46,41429,0.4767,1,3,15,25,7034,0
67,56513,0.5802,1,2,15,16,33825,0
42,47767,0.2292,2,5,18,28,30541,0
67,94357,0.0648,5,4,18,26,23248,0
50,55375,0.0929,0,4,2,1,4203,1
63,68074,0.318,1,0,11,18,9750,0
68,59344,0.3742,9,4,13,29,0,1
37,48067,0.1457,1,4,11,15,9573,0
46,16503,0.4821,0,5,4,29,30640,1
56,53427,0.2301,2,1,15,17,25936,0
21,120092,0.5435,9,1,11,1,22395,0
28,30110,0.3052,6,2,18,27,42264,0
69,18702,0.5133,0,2,16,26,24567,0
55,93727,0.1152,6,1,10,5,11342,0
35,69841,0.3184,4,0,12,6,9500,0
67,58748,0.3522,8,1,13,5,16524,0
42,82253,0.5618,1,2,9,26,13247,0
34,38369,0.316,0,3,13,5,34294,0
46,52868,0.1421,8,4,6,8,26321,1
48,74103,0.1202,7,5,6,7,15204,1
43,97207,0.3876,9,3,11,29,15775,1
34,31629,0.1693,5,3,19,23,30548,0
44,80614,0.3391,4,4,11,21,35164,0
22,62636,0.3462,7,1,10,20,0,0
65,58261,0.4592,7,0,15,8,17431,0
46,54845,0.3138,4,3,13,11,21372,0
34,27307,0.0817,6,0,8,17,28222,0
27,74261,0.3117,0,5,5,22,21694,1
23,39354,0.1818,3,5,2,5,26107,1
67,33406,0.4294,1,5,16,22,16445,1
43,72709,0.5988,9,2,13,27,7912,0
66,70782,0.2052,2,3,19,3,31762,0
63,56580,0.4485,0,5,9,24,32238,0
67,76590,0.1035,1,2,15,6,29777,0
65,83518,0.4334,0,5,6,17,32446,0
38,81164,0.4059,7,1,8,28,5424,0
58,44434,0.5626,3,3,14,19,12388,1
55,75282,0.2809,2,2,5,4,36797,0
35,59232,0.1249,0,5,17,17,25343,0
45,89518,0.0973,1,2,7,9,20842,0
57,52525,0.1537,2,5,9,7,16221,1
48,47870,0.0799,2,1,16,0,39018,0
30,42724,0.1517,5,0,18,14,0,0
59,58785,0.3759,9,5,13,2,24411,1
37,64334,0.3447,7,0,18,14,19000,0
59,64719,0.5592,5,3,10,13,1212,1
42,61983,0.3554,1,1,1,0,44249,1
46,68420,0.2741,1,3,18,20,0,0
64,50549,0.3448,6,0,19,7,21818,0
45,37549,0.1314,0,1,2,6,27926,0
37,35803,0.3291,0,4,4,8,5374,1
33,74501,0.5303,6,1,11,17,24158,0
40,64406,0.1459,8,1,3,11,16632,0
45,17883,0.5334,4,4,9,7,34820,1
24,76935,0.2758,0,2,10,7,72705,0
30,92608,0.1502,4,2,2,29,25078,0
23,40681,0.2673,0,2,7,5,29060,1
61,61723,0.0854,9,0,15,2,5372,0
65,45530,0.394,8,1,19,1,23221,0
38,67566,0.105,3,5,10,13,14404,0
67,31679,0.1478,8,4,14,7,31682,1
56,53571,0.6294,1,5,4,5,0,1
67,74626,0.2346,6,0,11,3,3897,0
42,79714,0.1004,1,4,3,4,37700,0
54,63529,0.2834,3,5,17,20,23149,0
67,48219,0.3231,5,0,7,12,39857,1
28,23147,0.3858,1,0,11,8,25456,0
60,39849,0.5753,1,0,18,12,27646,0
69,45614,0.2158,1,4,14,28,15357,0
64,41045,0.2749,2,5,14,8,17095,1
39,56191,0.3981,4,5,6,23,34466,1
62,48162,0.1925,8,3,9,23,17851,1
61,58442,0.0224,5,0,3,15,37753,0
57,79052,0.5476,8,2,17,11,18352,0
26,46870,0.314,9,1,12,1,2305,0
46,27342,0.2961,4,3,4,29,938,1
54,40965,0.2572,5,3,16,18,17423,0
65,66671,0.2032,9,4,10,29,33736,1
26,68558,0.6583,7,3,7,15,10023,1
57,63121,0.3865,2,5,10,23,30976,0
53,81014,0.1646,1,4,7,12,21511,0
42,51272,0.2577,2,4,18,4,29093,1
41,96043,0.185,8,2,9,22,15654,1
26,71363,0.1622,5,0,18,29,22745,0
26,15000,0.2012,9,3,17,23,34081,0
68,91013,0.4411,3,0,11,5,19742,0
24,39660,0.0312,9,0,1,20,12127,0
50,34317,0.1305,2,0,17,23,0,0
31,65475,0.4754,1,4,4,16,28122,0
50,20236,0.3465,3,0,4,16,8425,1
51,41090,0.4309,8,3,14,16,12191,0
44,86141,0.5215,3,4,9,2,3937,0
29,66124,0.0101,4,3,13,25,16548,0
23,71244,0.2856,7,4,16,12,51463,0
51,41861,0.3401,1,1,1,11,25280,0
60,24232,0.1663,2,1,3,5,10337,0
57,69136,0.3829,5,1,19,21,13155,0
56,73605,0.1187,6,1,8,20,0,0
44,72699,0.2871,3,4,18,28,3040,0
51,59181,0.317,0,0,6,12,657,0
26,35658,0.3171,6,2,6,13,24054,1
22,103755,0.2595,8,5,5,6,26700,1
40,64595,0.1594,0,2,12,4,21163,0
48,51522,0.3285,0,1,9,13,25547,0
31,51611,0.3801,0,0,9,17,8506,0
24,57991,0.1586,9,3,17,3,2775,0
35,76392,0.2028,6,0,19,0,2680,0
26,58792,0.3422,8,3,17,6,2016,1
69,72170,0.316,2,2,16,19,25380,0
50,58027,0.4532,7,0,12,12,50205,0
58,52752,0.5218,8,0,3,3,4290,1
22,67825,0.3974,2,5,14,12,14870,0
35,67065,0.3636,2,2,17,3,23043,0
31,51607,0.6752,0,0,16,2,15814,0
28,40015,0.1801,1,3,12,7,24994,0
46,61834,0.2536,6,0,2,19,11369,0
65,56566,0.3653,2,3,8,7,9794,1
64,43902,0.0394,6,1,12,24,17264,0
25,38151,0.1947,4,0,16,16,24898,0
26,63209,0.0281,9,3,8,14,39237,0
46,66001,0.0729,7,2,16,3,25649,0
24,47799,0.1186,4,1,10,5,16217,0
39,43401,0.1638,2,0,15,23,32461,0
40,38394,0.2362,8,5,4,29,35001,1
53,62645,0.2327,6,3,15,21,15449,0
40,38920,0.2211,4,5,4,27,17810,0
69,99822,0.3727,6,0,11,5,13593,0
32,46794,0.1777,9,3,6,9,32313,0
67,15000,0.2181,8,0,4,3,21112,0
21,54396,0.3155,4,1,9,8,0,0
46,53539,0.1537,6,1,9,15,26092,0
34,77234,0.132,8,0,3,6,42344,0
58,60762,0.1733,0,0,5,13,43529,0
57,38323,0.5621,3,4,15,26,12813,1
31,49272,0.2949,0,0,9,5,9550,0
56,61548,0.1204,7,0,2,0,48468,0
33,15000,0.0739,2,5,3,17,43500,1
63,81772,0.3527,1,5,12,11,27009,0
23,38376,0.1899,3,1,16,21,0,0
53,83340,0.4289,2,5,5,26,10905,0
26,62849,0.5044,4,0,10,14,3596,0
30,67591,0.2632,7,2,15,0,47185,0
25,77988,0.2183,9,0,14,14,0,0
43,66462,0.2694,7,4,14,14,47054,0
30,68457,0.1057,6,3,13,26,18417,0
64,51711,0.1866,7,1,16,15,2034,0
22,62443,0.1546,4,5,8,20,34801,1
33,43250,0.0986,9,2,8,0,29442,0
60,48131,0.089,9,3,17,28,1006,0
22,94293,0.5005,5,2,17,2,19621,0
40,38836,0.1153,7,1,3,11,40633,0
21,58086,0.514,0,5,1,27,13851,1
57,57269,0.2876,5,4,17,27,45195,0
29,48784,0.3,5,1,16,6,8828,0
37,65288,0.1547,4,2,17,4,0,0
29,66794,0.2678,3,2,2,27,20678,0
31,36483,0.5784,0,1,14,25,0,0
35,57027,0.6112,9,0,7,0,21873,0
44,33352,0.1728,7,1,19,0,20077,0
58,70770,0.1175,5,5,1,14,8616,1
55,58529,0.2645,2,5,17,7,48180,0
50,56646,0.4443,2,4,10,10,19940,0
51,68180,0.4885,5,1,6,13,32965,0
69,49489,0.5708,6,3,7,28,33930,0
25,73280,0.3517,7,5,6,24,46415,1
64,36031,0.0779,4,5,5,22,1858,1
34,83237,0.3406,9,5,2,12,0,1
31,43981,0.1474,5,0,18,18,45860,0
29,21076,0.3534,0,3,17,11,28716,1
54,48429,0.0305,5,1,7,21,21894,0
32,46160,0.1189,8,0,19,18,18000,0
55,48278,0.2886,9,5,7,25,15340,1
55,59632,0.2031,3,3,7,3,32917,0
21,76956,0.3421,9,3,16,27,0,0
60,51165,0.4593,0,0,12,3,27159,0
42,41167,0.4529,8,5,15,2,35469,1
49,32469,0.4446,3,0,15,25,31148,0
28,45636,0.062,1,2,11,5,18929,0
31,17243,0.2246,0,5,2,4,19960,0
61,40497,0.2259,2,0,3,10,39285,0
57,79881,0.3696,6,1,19,24,28728,0
34,38532,0.3824,9,5,15,8,46327,1
50,67574,0.262,1,4,16,2,0,0
55,30470,0.0874,8,5,1,28,33600,1
41,90421,0.1692,1,2,15,8,7830,0
57,91752,0.4906,4,0,12,28,18906,0
25,66820,0.2573,7,4,7,11,40640,0
39,94825,0.3968,9,2,7,2,4964,0
34,62115,0.2231,7,1,11,19,51734,0
46,70370,0.3842,2,5,11,16,36584,0
24,80238,0.6702,1,4,17,20,28688,1
45,58594,0.6255,8,0,3,11,6019,1
65,23952,0.0774,2,0,16,24,17304,0
62,70779,0.2799,7,1,5,17,14624,0
45,45562,0.3612,1,2,2,3,1515,0
38,47049,0.1622,2,4,7,9,36406,1
60,60957,0.0545,0,1,10,17,13934,0
28,66325,0.1294,5,2,5,29,17366,0
59,58002,0.3191,6,3,15,7,18124,0
60,67714,0.4622,3,3,12,8,16787,0
34,40862,0.4784,0,2,10,18,27956,0
52,54145,0.4307,2,0,17,12,10659,0
58,71981,0.5198,8,0,11,24,35274,0
53,90455,0.1309,4,3,8,5,11060,0
43,97528,0.2496,5,0,15,21,19572,0
35,63659,0.0602,3,0,2,6,401,0
53,71800,0.3818,0,2,17,27,36074,0
45,94631,0.0654,4,5,6,20,39887,0
37,41583,0.4362,4,2,13,5,30738,0
53,67593,0.2923,4,0,8,10,22556,0
67,70366,0.4311,5,2,11,16,19457,0
22,83957,0.276,1,4,15,18,0,1
34,32257,0.5131,0,3,13,27,0,1
60,36211,0.3997,1,5,18,24,31257,0
60,55427,0.1813,9,4,18,11,17288,0
59,62554,0.2384,5,4,17,20,0,0
26,77457,0.2177,4,0,13,20,0,0
26,65350,0.0268,4,0,3,23,29523,0
23,51971,0.3453,5,4,7,26,33109,1
27,63329,0.2149,9,4,12,26,0,1
28,61020,0.1506,6,1,4,12,22280,0
62,89900,0.3587,8,1,11,17,25818,0
35,58313,0.2395,6,3,14,28,11245,0
67,47338,0.2371,1,4,18,6,38595,0
49,63992,0.0415,5,2,7,24,14828,0
53,58969,0.1176,8,5,5,22,0,1
50,23580,0.0187,6,1,16,27,17080,0
59,54686,0.1974,1,0,11,4,40519,0
47,52985,0.3606,2,4,3,28,14818,1
56,44122,0.3472,7,2,16,15,4296,0
49,75711,0.1261,8,5,11,21,29423,1
58,39286,0.1895,3,2,10,3,23876,0
53,64112,0.1278,8,2,2,29,19956,0
57,52042,0.1651,1,0,16,27,27156,0
47,57153,0.3322,4,1,17,22,9624,0
53,63235,0.5594,1,2,10,0,10999,0
24,28848,0.2149,0,5,18,3,30912,0
42,58833,0.4067,4,1,12,2,5504,1
22,100778,0.1715,1,3,8,28,44223,0
30,23864,0.287,6,0,3,3,38440,0
25,53847,0.6097,7,1,3,0,2838,1
30,77464,0.1341,1,1,6,11,42137,0
53,61032,0.0215,6,2,2,12,22282,0
58,68759,0.3167,3,5,3,1,40771,0
33,15000,0.223,0,2,17,27,22001,0
51,66964,0.5043,2,5,9,26,17342,1
67,39766,0.5386,0,0,4,28,15778,0
56,61197,0.1185,4,1,2,8,0,0
65,54411,0.1969,7,4,9,6,33906,1
44,100566,0.6863,0,5,14,12,9393,0
35,65933,0.1446,8,5,11,21,34397,0
49,52747,0.0569,2,2,2,1,45109,0
28,24806,0.1602,4,2,2,0,11336,1
25,57422,0.1959,8,3,5,17,10450,1
49,71464,0.5321,4,5,7,6,35116,1
67,53388,0.3762,8,0,4,17,12986,0
24,44886,0.31,9,1,14,18,39758,0
32,43548,0.2395,7,1,2,7,9632,1
65,65702,0.1602,6,1,12,22,41573,0
22,70187,0.0836,0,5,10,11,15413,0
47,82224,0.4024,3,2,1,10,24953,0
51,35100,0.0123,8,0,19,26,34733,0
56,65519,0.1866,9,1,16,29,27672,0
56,52565,0.2912,7,5,15,26,36059,0
46,53155,0.4611,3,4,14,8,0,0
63,63036,0.1029,0,3,9,27,13891,0
47,63153,0.6925,9,3,15,3,20948,1
25,65575,0.1175,3,1,7,6,8517,0
40,33850,0.4439,2,2,4,16,34561,1
31,40003,0.2312,5,3,18,10,12316,1
30,84717,0.2515,4,3,8,26,8547,0
60,50588,0.5226,4,3,12,1,34106,1
58,61120,0.3245,1,3,15,22,4318,0
26,76093,0.1023,2,1,15,17,5049,0
28,64268,0.4798,5,5,17,21,27624,0
43,65930,0.4221,1,0,2,28,40157,0
67,72891,0.2299,3,0,12,25,22425,0
46,15000,0.1175,1,2,3,11,0,0
66,45200,0.2579,8,5,7,8,30274,0
63,64372,0.1938,2,4,6,10,11111,0
32,82752,0.295,9,0,14,4,36811,0
46,56321,0.7323,9,4,5,25,14305,1
33,38105,0.2512,5,0,4,6,37159,0
60,38638,0.2489,0,0,15,28,13732,0
38,72677,0.1521,9,2,7,0,9669,0
45,50644,0.2485,2,3,3,23,0,1
53,54855,0.2258,7,2,13,24,10106,0
67,67300,0.2041,4,0,10,28,22659,0
60,15000,0.3082,7,5,2,4,21506,1
63,95007,0.213,1,3,12,5,29174,0
32,40378,0.3036,6,5,12,12,38662,1
64,59838,0.4274,8,5,19,10,20429,1
56,20906,0.1787,6,5,19,7,21015,0
68,46549,0.379,2,3,3,19,36693,1
24,79893,0.7317,6,5,6,1,23465,1
25,16676,0.5533,7,3,2,14,6152,1
57,77524,0.4406,0,4,13,9,12168,0
28,49526,0.4834,2,0,9,7,0,0
62,64743,0.2948,4,1,13,1,5948,0
69,68150,0.6639,5,5,14,20,0,1
48,63828,0.155,2,2,19,14,25265,0
51,37700,0.1814,3,4,11,28,38172,0
29,47709,0.0624,4,2,14,5,5887,0
49,25768,0.1729,2,1,16,4,6445,0
34,64835,0.1821,3,3,10,21,34147,0
60,89041,0.1242,4,1,16,21,13236,0
61,18511,0.2721,1,2,2,2,23851,1
42,39767,0.3572,9,1,16,10,31146,0
31,51364,0.3943,8,0,14,10,9378,0
43,58466,0.3131,9,1,18,15,9670,0
21,72583,0.5589,7,5,6,2,12404,1
66,51956,0.4173,5,0,7,8,0,1
57,48680,0.4463,9,5,13,2,27300,1
41,77062,0.0408,2,1,2,18,29013,0
46,68239,0.268,1,0,15,10,21195,0
66,65779,0.2851,6,0,17,13,40395,0
56,57250,0.191,7,1,13,1,16082,0
43,74663,0.3587,9,4,7,6,29263,1
